Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
ARE,abu-dhabi,46:00.0,239.4,18,30,70,15,01:00.0,10.5398348,10.32316887,0.216665938
ARE,abu-dhabi,01:30.0,123.9,14,14.6,38,15,01:00.0,10.24930587,10.32982549,-0.080519613
ARE,abu-dhabi,31:30.0,187.1,16,19.7,54,16,16:00.0,10.38949031,10.40687296,-0.017382656
ARE,abu-dhabi,31:30.0,143,14,18.4,46,15,01:30.0,10.21196212,10.3522826,-0.140320482
ARE,abu-dhabi,01:30.0,104.8,13,14.8,36,14,16:30.0,9.830720792,10.00207774,-0.171356953
ARE,abu-dhabi,01:30.0,159.3,20,30.9,49,18,01:30.0,10.34035204,10.04857077,0.291781273
ARE,abu-dhabi,01:30.0,569.5,32,91.6,133,17,46:30.0,11.39165809,10.33080687,1.060851212
ARE,abu-dhabi,46:30.0,573.3,29,95.5,142,15,46:30.0,11.04502391,10.1651502,0.879873707
ARE,abu-dhabi,46:30.0,64.2,7,11.8,17,12,46:30.0,8.263622612,8.296896034,-0.033273422
ARE,abu-dhabi,46:30.0,17.4,3,5.7,4,7,46:30.0,7.876776684,8.053029162,-0.176252478
ARE,abu-dhabi,01:30.0,4.6,2,0.7,1,4,01:30.0,8.298386966,8.537731898,-0.239344932
ARE,abu-dhabi,31:30.0,3.3,3,1,1,4,01:30.0,8.639952411,8.811007772,-0.171055362
ARE,abu-dhabi,01:30.0,2,2,0.9,1,5,01:30.0,8.564497997,8.858392519,-0.293894522
ARE,abu-dhabi,01:30.0,12.4,3,2.2,4,5,46:30.0,8.822141548,9.066559566,-0.244418018
ARE,abu-dhabi,01:30.0,8.7,6,3.1,3,6,01:30.0,9.315655247,9.503432704,-0.187777457
ARE,abu-dhabi,01:00.0,58.3,9,4.1,14,10,01:00.0,9.60197552,9.731023817,-0.129048297
ARE,abu-dhabi,01:00.0,89.1,12,10.6,28,13,01:00.0,10.15519314,10.32999767,-0.17480453
ARE,abu-dhabi,01:00.0,153,16,17.8,47,16,01:00.0,10.64958261,10.69292715,-0.04334454
ARE,abu-dhabi,01:00.0,381.9,24,44.8,102,21,01:00.0,11.3201557,10.981677,0.338478696
ARE,abu-dhabi,01:00.0,780.8,35,101.9,175,30,01:00.0,12.15912253,11.19826545,0.960857075
ARE,abu-dhabi,01:00.0,883.3,36,114.9,190,30,46:00.0,12.16468851,11.06629643,1.098392082
ARE,abu-dhabi,46:00.0,798.1,33,105.4,185,25,46:00.0,11.8942627,10.88662459,1.007638105
ARE,abu-dhabi,01:00.0,351.3,25,56.4,96,25,46:00.0,11.04607712,10.44239721,0.603679908
ARE,abu-dhabi,46:00.0,317.1,24,55.1,84,16,46:00.0,10.97823358,10.38458594,0.593647645
ARE,abu-dhabi,31:30.0,286.7,23,44.7,86,12,01:00.0,10.9591768,10.35073932,0.608437477
ARE,abu-dhabi,46:00.0,205.9,18,27.9,67,14,01:00.0,10.51338762,10.26278373,0.250603891
ARE,abu-dhabi,01:30.0,169.2,15,17,42,14,01:30.0,10.23985954,10.25763635,-0.017776808
ARE,abu-dhabi,31:00.0,216.8,16,23.7,60,15,31:30.0,10.41420703,10.36410497,0.050102058
ARE,abu-dhabi,01:30.0,143.4,14,18.7,46,14,46:30.0,10.06679456,10.13718669,-0.070392131
ARE,abu-dhabi,01:30.0,100.9,13,13.7,31,12,46:30.0,9.867187485,9.970266123,-0.103078638
ARE,abu-dhabi,01:30.0,162.3,22,30.4,52,10,16:30.0,10.46634663,10.14291867,0.323427953
ARE,abu-dhabi,01:30.0,555.7,30,88.1,142,9,01:30.0,11.22240238,10.35840153,0.86400084
ARE,abu-dhabi,46:30.0,551.9,27,86.5,135,8,46:30.0,10.89025081,10.20359217,0.68665864
ARE,abu-dhabi,46:30.0,61.1,6,11.2,22,5,46:30.0,8.215072769,8.263906761,-0.048833991
ARE,abu-dhabi,46:30.0,18.8,2,3.7,4,2,16:30.0,7.820652224,7.978938529,-0.158286304
ARE,abu-dhabi,01:30.0,1.4,1,0.1,1,1,01:30.0,8.099935397,8.344861707,-0.24492631
ARE,abu-dhabi,01:30.0,3.9,1,0.2,1,1,01:30.0,8.28275821,8.529450801,-0.246692591
ARE,abu-dhabi,01:30.0,11.4,1,4.1,5,1,01:30.0,8.212034678,8.470531509,-0.258496831
ARE,abu-dhabi,01:00.0,10.6,3,2.6,4,3,01:30.0,8.421619988,8.625338927,-0.203718939
ARE,abu-dhabi,01:00.0,5,5,1.4,2,5,01:30.0,8.684392474,8.863457316,-0.179064842
ARE,abu-dhabi,01:00.0,39.3,7,2.6,13,8,01:00.0,9.140925584,9.309257834,-0.16833225
ARE,abu-dhabi,01:00.0,80.2,10,7.5,28,11,01:00.0,9.62209771,9.855704268,-0.233606558
ARE,abu-dhabi,01:00.0,176.7,14,21.4,57,14,01:00.0,10.04710652,10.25687559,-0.209769068
ARE,abu-dhabi,01:00.0,210.2,16,23.2,71,15,01:00.0,10.24003842,10.38895174,-0.148913325
ARE,abu-dhabi,01:00.0,259.9,18,32.2,86,17,31:00.0,10.43543251,10.3573605,0.078072016
ARE,abu-dhabi,46:00.0,256.2,18,30.9,85,17,46:00.0,10.42284764,10.33316133,0.08968631
ARE,abu-dhabi,46:00.0,257.7,16,30.1,78,15,46:00.0,10.26967526,10.13913222,0.130543043
ARE,abu-dhabi,46:00.0,100.7,11,11.9,33,11,46:00.0,9.75841383,9.737333763,0.021080067
ARE,abu-dhabi,01:00.0,39.6,9,5.2,14,9,01:00.0,9.597844617,9.667292405,-0.069447788
ARE,abu-dhabi,01:30.0,67.4,9,6.4,24,10,01:00.0,9.686435975,9.734260722,-0.047824747
ARE,abu-dhabi,31:30.0,62.4,10,6.1,19,9,01:00.0,9.661997073,9.699757322,-0.037760249
ARE,abu-dhabi,01:30.0,44.8,10,6.7,14,10,16:30.3,9.70429128,9.764926501,-0.060635221
ARE,abu-dhabi,46:30.0,95.2,10,11.3,33,9,46:30.0,9.682635981,9.719312285,-0.036676305
ARE,abu-dhabi,46:30.0,19.6,8,2.8,7,8,46:30.0,9.390756361,9.526574382,-0.135818021
ARE,abu-dhabi,01:30.0,24.9,8,10.6,7,8,01:00.0,9.243780053,9.237109902,0.006670151
ARE,abu-dhabi,01:30.0,41.8,8,13.2,12,9,16:30.0,9.008083061,8.967998091,0.04008497
ARE,abu-dhabi,01:30.0,13.5,8,4.5,4,8,16:30.0,8.972685732,8.878209769,0.094475964
ARE,abu-dhabi,46:30.0,22.6,7,6,7,7,31:30.0,8.864876905,8.793112144,0.071764761
ARE,abu-dhabi,46:30.0,5.8,3,1.6,2,3,46:30.0,8.333110311,8.482952278,-0.149841968
ARE,abu-dhabi,01:30.0,11.1,1,0.8,4,1,01:30.0,8.090226383,8.301169327,-0.210942944
ARE,abu-dhabi,01:30.0,5.1,1,1.3,2,1,01:30.0,8.170157474,8.374626518,-0.204469044
ARE,abu-dhabi,01:30.0,13.2,2,0.8,3,2,01:30.0,8.264587657,8.485110246,-0.220522589
ARE,abu-dhabi,01:00.0,17.2,4,4.1,9,4,01:30.0,8.614576024,8.771171637,-0.156595613
ARE,abu-dhabi,01:00.0,38.7,7,3.7,12,8,01:00.0,9.044289467,9.202116484,-0.157827017
ARE,abu-dhabi,01:00.0,55.8,10,3.6,19,11,01:00.0,9.550611461,9.797174399,-0.246562938
ARE,abu-dhabi,01:00.0,86,13,10.7,32,13,01:00.0,9.937068691,10.20082798,-0.263759285
ARE,abu-dhabi,01:00.0,131.1,15,15.7,47,15,01:00.0,10.08736047,10.40877177,-0.321411293
ARE,abu-dhabi,01:00.0,211,17,25.7,67,16,01:00.0,10.28989792,10.48791173,-0.19801381
ARE,abu-dhabi,01:00.0,319.8,20,35.8,91,19,01:00.0,10.55198102,10.43644327,0.115537747
ARE,abu-dhabi,01:00.0,279.5,19,37.7,78,19,46:00.0,10.42530889,10.18918809,0.236120803
ARE,abu-dhabi,31:00.0,260.1,19,38.8,67,17,31:00.0,10.35003816,9.989796325,0.360241833
ARE,abu-dhabi,46:00.0,120,13,16.9,43,13,46:00.0,9.799448441,9.732232062,0.067216379
